course_id,class_id,level_id,semester,section,
580,1,5,2101,S,
581,2,5,2101,S,
582,3,5,2101,S,
583,4,5,2101,S,
584,5,5,2101,S,
585,1,5,2101,T,
586,2,5,2101,T,
587,3,5,2101,T,
588,4,5,2101,T,
589,5,5,2101,T,
590,1,5,2101,U,
591,2,5,2101,U,
592,3,5,2101,U,
593,4,5,2101,U,
594,5,5,2101,U,
595,3,4,2101,E,
596,1,3,2101,H,
597,2,3,2101,H,
599,4,5,2104,U,
600,3,5,2104,S,
601,3,4,2104,P,
602,1,2,2104,A,
603,2,2,2104,A,
604,3,2,2104,A,
605,4,2,2104,A,
606,5,2,2104,A,
607,1,3,2104,F,
608,2,3,2104,F,
609,3,3,2104,F,
610,4,3,2104,F,
611,5,3,2104,F,
612,1,3,2104,G,
613,2,3,2104,G,
614,3,3,2104,G,
615,4,3,2104,G,
616,5,3,2104,G,
617,1,4,2104,M,
618,2,4,2104,M,
619,3,4,2104,M,
620,4,4,2104,M,
621,5,4,2104,M,
622,1,4,2104,P,
623,2,4,2104,P,
630,4,4,2104,P,
631,5,4,2104,P,
632,1,4,2104,Q,
633,2,4,2104,Q,
634,3,4,2104,Q,
635,4,4,2104,Q,
636,5,4,2104,Q,
637,1,5,2104,S,
638,2,5,2104,S,
639,4,5,2104,S,
640,5,5,2104,S,
641,1,5,2104,T,
642,2,5,2104,T,
643,3,5,2104,T,
644,4,5,2104,T,
645,5,5,2104,T,
646,3,5,2104,U,
647,5,5,2104,U,
648,3,4,2104,E,
649,1,3,2104,H,
650,2,3,2104,H,
651,5,3,2104,H,
652,1,2,2107,A,
653,2,2,2107,A,
654,3,2,2107,A,
655,4,2,2107,A,
656,5,2,2107,A,
657,1,3,2107,F,
658,2,3,2107,F,
659,3,3,2107,F,
660,4,3,2107,F,
661,5,3,2107,F,
662,1,3,2107,G,
663,2,3,2107,G,
664,3,3,2107,G,
665,4,3,2107,G,
666,5,3,2107,G,
667,1,3,2107,H,
668,2,3,2107,H,
669,3,3,2107,H,
670,4,3,2107,H,
671,5,3,2107,H,
672,1,4,2107,M,
673,2,4,2107,M,
674,3,4,2107,M,
675,4,4,2107,M,
676,5,4,2107,M,
677,1,4,2107,P,
678,2,4,2107,P,
679,3,4,2107,P,
680,4,4,2107,P,
681,5,4,2107,P,
682,1,4,2107,Q,
683,2,4,2107,Q,
684,3,4,2107,Q,
685,4,4,2107,Q,
686,5,4,2107,Q,
687,1,4,2107,R,
688,2,4,2107,R,
689,3,4,2107,E,
690,1,5,2107,S,
691,2,5,2107,S,
692,3,5,2107,S,
693,4,5,2107,S,
694,5,5,2107,S,
695,1,5,2107,T,
696,2,5,2107,T,
697,3,5,2107,T,
698,4,5,2107,T,
699,5,5,2107,T,
700,1,5,2107,U,
701,2,5,2107,U,
702,3,5,2107,U,
703,4,5,2107,U,
704,5,5,2107,U,
705,3,4,2107,R,
706,4,4,2107,R,
707,5,4,2107,R,
708,3,4,2111,M,
709,1,2,2111,A,
710,2,2,2111,A,
711,3,2,2111,A,
712,4,2,2111,A,
713,5,2,2111,A,
714,1,3,2111,F,
715,2,3,2111,F,
716,3,3,2111,F,
717,4,3,2111,F,
718,5,3,2111,F,
719,1,3,2111,G,
720,2,3,2111,G,
721,3,3,2111,G,
722,4,3,2111,G,
723,5,3,2111,G,
724,1,4,2111,L,
725,2,4,2111,L,
726,3,4,2111,L,
727,4,4,2111,L,
728,5,4,2111,L,
729,1,4,2111,M,
730,2,4,2111,M,
731,4,4,2111,M,
732,5,4,2111,M,
733,1,4,2111,P,
734,2,4,2111,P,
735,3,4,2111,P,
736,4,4,2111,P,
737,5,4,2111,P,
738,1,4,2111,Q,
739,2,4,2111,Q,
740,3,4,2111,Q,
741,4,4,2111,Q,
742,5,4,2111,Q,
743,1,4,2111,R,
744,2,4,2111,R,
745,3,4,2111,R,
746,4,4,2111,R,
747,5,4,2111,R,
748,3,4,2111,E,
749,1,5,2111,S,
750,2,5,2111,S,
751,3,5,2111,S,
752,4,5,2111,S,
753,5,5,2111,S,
754,1,5,2111,T,
755,2,5,2111,T,
756,3,5,2111,T,
757,4,5,2111,T,
758,5,5,2111,T,
759,1,5,2111,U,
760,2,5,2111,U,
761,3,5,2111,U,
762,4,5,2111,U,
763,5,5,2111,U,
764,1,2,2114,A,
765,2,2,2114,A,
766,3,2,2114,A,
767,4,2,2114,A,
768,5,2,2114,A,
769,1,3,2114,A,
770,1,3,2114,H,
771,4,3,2114,G,
772,1,3,2114,F,
773,2,3,2114,F,
774,3,3,2114,F,
775,4,3,2114,F,
776,5,3,2114,F,
777,1,3,2114,G,
778,2,3,2114,G,
779,3,3,2114,G,
780,4,3,2114,G,
781,5,3,2114,G,
782,1,4,2114,M,
783,2,4,2114,M,
784,3,4,2114,M,
785,4,4,2114,M,
786,5,4,2114,M,
787,1,4,2114,P,
788,2,4,2114,P,
789,3,4,2114,P,
790,4,4,2114,P,
791,5,4,2114,P,
792,1,4,2114,Q,
793,2,4,2114,Q,
794,3,4,2114,Q,
795,4,4,2114,Q,
796,5,4,2114,Q,
797,1,5,2114,S,
